individual,species,lab,sex,age,condition,round,range,urban_habitat,adult_sociality,caching,source,live_hunting,flock_size,touch,latency
AL032,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,285
AL032,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,43
AL032,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,0,600
AL032,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL032,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,53
AL032,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,427
AL035,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,13
AL035,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,91
AL035,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,32
AL035,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,142
AL035,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,261
AL035,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,121
AL075,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,0,600
AL075,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,204
AL075,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,388
AL075,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL075,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL075,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL088,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,20
AL088,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,235
AL088,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,191
AL088,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL088,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL088,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL089,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,35
AL089,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,14
AL089,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,27
AL089,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,261
AL089,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,39
AL089,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL091,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,92
AL091,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,109
AL091,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,0,600
AL091,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,173
AL091,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,307
AL091,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL092,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,204
AL092,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,32
AL092,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL092,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,400
AL092,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,418
AL097,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,5
AL097,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,22
AL097,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,10
AL097,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,60
AL097,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,50
AL097,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,25
AL099,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,58
AL099,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,0,600
AL099,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,165
AL099,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL099,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL099,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL101,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,270
AL101,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,0,600
AL101,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,0,600
AL101,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL101,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL101,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL104,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,123
AL104,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,67
AL104,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,434
AL104,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL104,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL104,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL109,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,469
AL109,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,106
AL109,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,193
AL109,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,1,271
AL109,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,171
AL109,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL119,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,45
AL119,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,148
AL119,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,207
AL119,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL119,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL119,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,319
AL120,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,4
AL120,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,6
AL120,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,12
AL120,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL120,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL120,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL121,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,59
AL121,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,127
AL121,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,0,600
AL121,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL121,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL121,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,310
AL122,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,523
AL122,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,81
AL122,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,29
AL122,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL122,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,439
AL122,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,387
AL124,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,13
AL124,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,0,600
